Model: pyannote/speaker-diarization-community-1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 437 file(s) were processed.
Total elapsed: 00:45:03
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
00278                             32.9   0.304   0.574   0.044   0.030   0.231
00279                             37.9   0.480   0.646   0.262   0.032   0.186
00280                             56.3   0.197   0.262   0.055   0.053   0.089
00281                             34.3   0.440   0.557   0.181   0.088   0.171
00282                             62.1   0.135   0.151   0.083   0.037   0.016
00283                             22.3   0.284   0.333   0.160   0.032   0.092
00284                             31.3   0.093   0.266   0.010   0.060   0.023
00285                             46.7   0.268   0.418   0.028   0.078   0.161
00286                             44.7   0.225   0.587   0.057   0.084   0.083
00287                            365.7   0.096   0.095   0.041   0.048   0.007
00288                            122.3   0.103   0.398   0.024   0.060   0.020
00289                             43.1   0.187   0.532   0.023   0.043   0.121
00290                            267.1   0.215   0.281   0.083   0.032   0.100
00291                             32.3   0.167   0.166   0.034   0.109   0.023
00292                            207.9   0.147   0.205   0.048   0.063   0.036
00293                             23.8   0.019   0.022   0.002   0.013   0.004
00294                           1692.9   0.120   0.270   0.057   0.034   0.030
00295                            628.0   0.104   0.109   0.028   0.074   0.003
00296                             43.7   0.403   0.456   0.181   0.036   0.186
00297                             25.2   0.504   0.728   0.024   0.094   0.386
00298                             34.1   0.382   0.611   0.087   0.053   0.242
00299                             51.1   0.092   0.087   0.010   0.079   0.004
00300                             21.2   0.243   0.466   0.098   0.033   0.112
00301                             44.8   0.403   0.528   0.080   0.061   0.262
00302                             24.0   0.355   0.667   0.033   0.015   0.307
00303                             85.1   0.058   0.055   0.017   0.040   0.001
00304                             20.1   0.155   0.162   0.134   0.021   0.001
00305                             23.6   0.176   0.439   0.097   0.051   0.028
00306                             25.4   0.396   0.644   0.127   0.025   0.244
00307                             31.8   0.571   0.796   0.198   0.102   0.271
00308                             23.4   0.052   0.051   0.039   0.013   0.000
00309                             62.9   0.141   0.437   0.060   0.053   0.028
00310                            130.5   0.301   0.497   0.045   0.057   0.199
00311                             22.6   0.095   0.094   0.043   0.052   0.000
00312                             30.3   0.172   0.166   0.094   0.069   0.008
00313                             27.7   0.340   0.592   0.067   0.066   0.207
00314                             34.0   0.446   0.735   0.104   0.069   0.273
00315                            238.1   0.062   0.072   0.018   0.044   0.000
00316                             26.7   0.073   0.075   0.048   0.023   0.003
00317                             42.3   0.159   0.470   0.119   0.020   0.021
00318                            140.5   0.333   0.535   0.093   0.126   0.114
00319                             30.4   0.501   0.660   0.090   0.105   0.306
00320                            940.5   0.100   0.104   0.059   0.032   0.009
00321                             26.0   0.382   0.703   0.091   0.027   0.264
00322                            136.3   0.084   0.084   0.031   0.049   0.004
00323                             31.7   0.624   0.765   0.289   0.055   0.280
00324                             29.2   0.138   0.134   0.088   0.050   0.000
00325                             36.5   0.163   0.552   0.051   0.015   0.096
00326                             24.6   0.312   0.552   0.151   0.065   0.096
00327                             31.5   0.111   0.104   0.056   0.052   0.003
00328                             93.7   0.105   0.115   0.047   0.043   0.015
00329                             27.5   0.116   0.113   0.058   0.059   0.000
00330                             82.9   0.172   0.468   0.056   0.026   0.090
00331                             45.2   0.216   0.479   0.105   0.038   0.073
00332                             27.4   0.656   0.803   0.119   0.131   0.406
00333                            237.1   0.038   0.074   0.024   0.013   0.001
00334                             26.1   0.540   0.641   0.194   0.137   0.209
00335                             26.2   0.343   0.643   0.198   0.080   0.065
00336                             99.9   0.385   0.580   0.135   0.095   0.155
00337                             29.4   0.557   0.706   0.018   0.119   0.420
00338                             40.7   0.065   0.061   0.008   0.057   0.000
00339                             23.5   0.025   0.042   0.012   0.012   0.002
00340                             49.5   0.506   0.810   0.111   0.078   0.317
00341                             72.8   0.176   0.266   0.114   0.030   0.031
00342                             24.7   0.597   0.748   0.156   0.102   0.339
00343                             24.7   0.602   0.776   0.072   0.135   0.395
00344                            116.3   0.160   0.211   0.017   0.063   0.080
00345                             21.9   0.218   0.360   0.078   0.022   0.118
00346                             29.8   0.231   0.616   0.089   0.044   0.098
00347                             33.4   0.193   0.348   0.082   0.052   0.060
00348                             57.8   0.419   0.590   0.083   0.087   0.249
00349                             31.2   0.346   0.669   0.041   0.096   0.209
00350                             39.6   0.154   0.179   0.072   0.075   0.006
00351                             68.1   0.089   0.095   0.057   0.030   0.002
00352                             33.8   0.177   0.210   0.100   0.034   0.043
00353                             45.0   0.216   0.284   0.103   0.038   0.075
00354                             50.6   0.240   0.474   0.065   0.052   0.123
00355                             25.4   0.324   0.492   0.069   0.025   0.230
00356                             33.4   0.373   0.534   0.121   0.073   0.180
00357                             69.4   0.573   0.723   0.176   0.058   0.339
00358                             43.9   0.434   0.687   0.126   0.049   0.259
00359                             66.6   0.226   0.277   0.015   0.095   0.116
00360                             24.9   0.103   0.118   0.044   0.054   0.005
00361                             25.3   0.298   0.412   0.059   0.026   0.213
00362                             76.1   0.022   0.023   0.009   0.013   0.001
00363                             75.7   0.601   0.691   0.207   0.110   0.284
00364                             21.7   0.255   0.672   0.073   0.056   0.127
00365                             32.6   0.181   0.213   0.073   0.064   0.045
00366                            321.4   0.274   0.330   0.098   0.076   0.100
00367                             20.2   0.509   0.635   0.167   0.039   0.303
00368                             39.2   0.158   0.223   0.034   0.028   0.096
00369                             53.1   0.143   0.139   0.104   0.033   0.007
00370                             21.7   0.072   0.277   0.024   0.048   0.000
00371                             23.5   0.332   0.544   0.041   0.038   0.253
00372                             74.7   0.122   0.126   0.087   0.026   0.009
00373                             20.0   0.421   0.678   0.020   0.011   0.390
00374                             36.6   0.469   0.666   0.090   0.033   0.346
00375                             36.1   0.124   0.138   0.048   0.061   0.014
00376                             20.9   0.061   0.063   0.031   0.030   0.000
00377                             27.0   0.193   0.329   0.054   0.085   0.055
00378                             68.0   0.496   0.735   0.108   0.068   0.320
00379                             50.6   0.302   0.522   0.088   0.062   0.153
00380                             36.2   0.110   0.109   0.050   0.055   0.004
00381                             32.6   0.201   0.194   0.062   0.026   0.113
00382                             30.8   0.086   0.360   0.082   0.005   0.000
00383                             31.4   0.160   0.410   0.108   0.052   0.000
00384                            131.4   0.290   0.478   0.125   0.050   0.115
00385                             47.2   0.329   0.278   0.145   0.176   0.007
00386                             20.6   0.076   0.485   0.029   0.020   0.026
00387                             21.4   0.333   0.749   0.066   0.042   0.226
00388                             25.5   0.330   0.493   0.092   0.118   0.120
00389                             28.7   0.062   0.065   0.002   0.056   0.004
00390                             25.2   0.108   0.109   0.030   0.069   0.009
00391                             23.6   0.092   0.091   0.068   0.018   0.006
00392                             84.4   0.339   0.586   0.085   0.032   0.222
00393                             60.8   0.231   0.318   0.082   0.035   0.114
00394                            108.9   0.196   0.240   0.076   0.074   0.046
00395                             33.3   0.216   0.522   0.107   0.083   0.026
00396                             38.5   0.203   0.446   0.128   0.018   0.057
00397                             46.5   0.109   0.473   0.037   0.047   0.025
00398                             31.0   0.848   0.878   0.612   0.141   0.095
00399                             47.8   0.311   0.497   0.176   0.015   0.120
00400                             34.2   0.025   0.023   0.008   0.018   0.000
00401                             29.4   0.182   0.617   0.146   0.014   0.022
00402                            111.1   0.079   0.098   0.037   0.040   0.002
00403                            629.0   0.113   0.146   0.030   0.042   0.042
00404                           1194.5   0.153   0.174   0.074   0.047   0.032
00405                             29.5   0.108   0.145   0.012   0.095   0.001
00406                             27.9   0.308   0.633   0.119   0.063   0.127
00407                             22.2   0.554   0.709   0.182   0.091   0.281
00408                             54.9   0.419   0.636   0.029   0.051   0.339
