Model: pyannote/speaker-diarization-3.1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 413 file(s) were processed.
Total elapsed: 00:45:09
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
00319                             30.4   0.542   0.622   0.090   0.105   0.347
00320                            940.5   0.096   0.097   0.059   0.032   0.005
00321                             26.0   0.379   0.603   0.091   0.027   0.261
00322                            136.3   0.085   0.085   0.031   0.049   0.005
00323                             31.7   0.580   0.664   0.289   0.055   0.236
00324                             29.2   0.552   0.515   0.088   0.050   0.414
00325                             36.5   0.163   0.552   0.051   0.015   0.096
00326                             24.6   0.377   0.568   0.151   0.065   0.161
00327                             31.5   0.111   0.104   0.056   0.052   0.003
00328                             93.7   0.117   0.137   0.047   0.043   0.027
00329                             27.5   0.120   0.119   0.058   0.059   0.003
00330                             82.9   0.175   0.480   0.056   0.026   0.093
00331                             45.2   0.557   0.653   0.105   0.038   0.414
00332                             27.4   0.599   0.677   0.119   0.131   0.349
00333                            237.1   0.038   0.077   0.024   0.013   0.000
00334                             26.1   0.553   0.629   0.194   0.137   0.222
00335                             26.2   0.284   0.537   0.198   0.080   0.006
00336                             99.9   0.385   0.581   0.135   0.095   0.155
00337                             29.4   0.476   0.511   0.018   0.119   0.339
00338                             40.7   0.066   0.066   0.008   0.057   0.002
00339                             23.5   0.025   0.042   0.012   0.012   0.002
00340                             49.5   0.371   0.604   0.111   0.078   0.182
00341                             72.8   0.287   0.407   0.114   0.030   0.142
00342                             24.7   0.562   0.588   0.156   0.102   0.304
00343                             24.7   0.495   0.554   0.072   0.135   0.287
00344                            116.3   0.146   0.185   0.017   0.063   0.067
00345                             21.9   0.100   0.096   0.078   0.022   0.000
00346                             29.8   0.210   0.600   0.089   0.044   0.077
00347                             33.4   0.193   0.345   0.082   0.052   0.060
00348                             57.8   0.381   0.502   0.083   0.087   0.211
00349                             31.2   0.165   0.442   0.041   0.096   0.028
00350                             39.6   0.154   0.179   0.072   0.075   0.006
00351                             68.1   0.089   0.095   0.057   0.030   0.002
00352                             33.8   0.259   0.288   0.100   0.034   0.125
00353                             45.0   0.515   0.501   0.103   0.038   0.374
00354                             50.6   0.233   0.466   0.065   0.052   0.116
00355                             25.4   0.532   0.570   0.069   0.025   0.438
00356                             33.4   0.461   0.450   0.121   0.073   0.268
00357                             69.4   0.506   0.549   0.176   0.058   0.272
00358                             43.9   0.429   0.723   0.126   0.049   0.254
00359                             66.6   0.221   0.326   0.015   0.095   0.110
00360                             24.9   0.200   0.239   0.044   0.054   0.102
00361                             25.3   0.367   0.409   0.059   0.026   0.282
00362                             76.1   0.022   0.023   0.009   0.013   0.001
00363                             75.7   0.672   0.696   0.207   0.110   0.356
00364                             21.7   0.255   0.672   0.073   0.056   0.127
00365                             32.6   0.289   0.324   0.073   0.064   0.153
00366                            321.4   0.326   0.435   0.098   0.076   0.152
00367                             20.2   0.269   0.305   0.167   0.039   0.063
00368                             39.2   0.158   0.223   0.034   0.028   0.096
00369                             53.1   0.143   0.139   0.104   0.033   0.007
00370                             21.7   0.072   0.277   0.024   0.048   0.000
00371                             23.5   0.283   0.385   0.041   0.038   0.204
00372                             74.7   0.192   0.193   0.087   0.026   0.079
00373                             20.0   0.421   0.678   0.020   0.011   0.390
00374                             36.6   0.288   0.296   0.090   0.033   0.165
00375                             36.1   0.116   0.124   0.048   0.061   0.007
00376                             20.9   0.241   0.216   0.031   0.030   0.180
00377                             27.0   0.193   0.329   0.054   0.085   0.055
00378                             68.0   0.439   0.537   0.108   0.068   0.263
00379                             50.6   0.274   0.490   0.088   0.062   0.124
00380                             36.2   0.527   0.486   0.050   0.055   0.421
00381                             32.6   0.201   0.194   0.062   0.026   0.113
00382                             30.8   0.086   0.360   0.082   0.005   0.000
00383                             31.4   0.160   0.410   0.108   0.052   0.000
00384                            131.4   0.355   0.679   0.125   0.050   0.180
00385                             47.2   0.536   0.422   0.145   0.176   0.215
00386                             20.6   0.076   0.485   0.029   0.020   0.026
00387                             21.4   0.267   0.671   0.066   0.042   0.160
00388                             25.5   0.330   0.493   0.092   0.118   0.120
00389                             28.7   0.235   0.242   0.002   0.056   0.177
00390                             25.2   0.108   0.109   0.030   0.069   0.009
00391                             23.6   0.092   0.099   0.068   0.018   0.006
00392                             84.4   0.221   0.403   0.085   0.032   0.104
00393                             60.8   0.231   0.315   0.082   0.035   0.114
00394                            108.9   0.206   0.255   0.076   0.074   0.055
00395                             33.3   0.216   0.522   0.107   0.083   0.026
00396                             38.5   0.292   0.448   0.128   0.018   0.146
00397                             46.5   0.109   0.473   0.037   0.047   0.025
00398                             31.0   0.793   0.812   0.612   0.141   0.040
00399                             47.8   0.309   0.498   0.176   0.015   0.118
00400                             34.2   0.025   0.023   0.008   0.018   0.000
00401                             29.4   0.182   0.617   0.146   0.014   0.022
00402                            111.1   0.078   0.100   0.037   0.040   0.002
00403                            629.0   0.110   0.140   0.030   0.042   0.038
00404                           1194.5   0.159   0.185   0.074   0.047   0.038
00405                             29.5   0.108   0.145   0.012   0.095   0.001
00406                             27.9   0.310   0.636   0.119   0.063   0.128
00407                             22.2   0.524   0.586   0.182   0.091   0.251
00408                             54.9   0.419   0.636   0.029   0.051   0.339
00409                             87.1   0.106   0.107   0.047   0.052   0.008
00410                             41.1   0.123   0.113   0.089   0.035   0.000
00411                            123.7   0.101   0.123   0.061   0.037   0.003
00412                             73.5   0.058   0.063   0.029   0.028   0.001
00413                            462.4   0.184   0.259   0.088   0.079   0.016

============================================================
OVERALL AVERAGES:
  Avg DER          = 0.285
  Avg JER          = 0.397
  Avg MISS         = 0.089
  Avg FALSE_ALARM  = 0.063
  Avg CONFUSION    = 0.133

============================================================
BY AUDIO LENGTH:

  long (5-15min) — 17 file(s)
    Avg DER          = 0.147
    Avg JER          = 0.238
    Avg MISS         = 0.063
    Avg FALSE_ALARM  = 0.044
    Avg CONFUSION    = 0.041

  medium (1-5min) — 98 file(s)
    Avg DER          = 0.216
    Avg JER          = 0.348
    Avg MISS         = 0.072
    Avg FALSE_ALARM  = 0.053
    Avg CONFUSION    = 0.091

  short (<1min) — 287 file(s)
    Avg DER          = 0.322
    Avg JER          = 0.432
    Avg MISS         = 0.098
    Avg FALSE_ALARM  = 0.068
    Avg CONFUSION    = 0.156

  very long (>15min) — 11 file(s)
    Avg DER          = 0.141
    Avg JER          = 0.178
    Avg MISS         = 0.049
    Avg FALSE_ALARM  = 0.049
    Avg CONFUSION    = 0.044
